geopoint,Daylight_savings_time_flag,Timezone,Longitude,Latitude,State,City,Zip
"33.972914,-118.24878",1,-8,-118.24878,33.972914,CA,Los Angeles,90001
"33.948315,-118.24845",1,-8,-118.24845,33.948315,CA,Los Angeles,90002
"33.962714,-118.276",1,-8,-118.276,33.962714,CA,Los Angeles,90003
"34.07711,-118.30755",1,-8,-118.30755,34.07711,CA,Los Angeles,90004
"34.058911,-118.30848",1,-8,-118.30848,34.058911,CA,Los Angeles,90005
"34.048351,-118.2943",1,-8,-118.2943,34.048351,CA,Los Angeles,90006
"34.026448,-118.2829",1,-8,-118.2829,34.026448,CA,Los Angeles,90007
"34.009754,-118.33705",1,-8,-118.33705,34.009754,CA,Los Angeles,90008
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90009
"34.062709,-118.31481",1,-8,-118.31481,34.062709,CA,Los Angeles,90010
"34.007063,-118.25868",1,-8,-118.25868,34.007063,CA,Los Angeles,90011
"34.061611,-118.23944",1,-8,-118.23944,34.061611,CA,Los Angeles,90012
"34.044662,-118.24255",1,-8,-118.24255,34.044662,CA,Los Angeles,90013
"34.042912,-118.25193",1,-8,-118.25193,34.042912,CA,Los Angeles,90014
"34.038993,-118.26516",1,-8,-118.26516,34.038993,CA,Los Angeles,90015
"34.029711,-118.35255",1,-8,-118.35255,34.029711,CA,Los Angeles,90016
"34.052561,-118.26434",1,-8,-118.26434,34.052561,CA,Los Angeles,90017
"34.029112,-118.3183",1,-8,-118.3183,34.029112,CA,Los Angeles,90018
"34.048411,-118.34015",1,-8,-118.34015,34.048411,CA,Los Angeles,90019
"34.06646,-118.30863",1,-8,-118.30863,34.06646,CA,Los Angeles,90020
"34.029313,-118.24182",1,-8,-118.24182,34.029313,CA,Los Angeles,90021
"34.023662,-118.15581",1,-8,-118.15581,34.023662,CA,Los Angeles,90022
"34.023039,-118.20231",1,-8,-118.20231,34.023039,CA,Los Angeles,90023
"34.063209,-118.43643",1,-8,-118.43643,34.063209,CA,Los Angeles,90024
"34.045006,-118.44527",1,-8,-118.44527,34.045006,CA,Los Angeles,90025
"34.07851,-118.26596",1,-8,-118.26596,34.07851,CA,Los Angeles,90026
"34.111208,-118.28842",1,-8,-118.28842,34.111208,CA,Los Angeles,90027
"34.098859,-118.32745",1,-8,-118.32745,34.098859,CA,Los Angeles,90028
"34.090259,-118.29455",1,-8,-118.29455,34.090259,CA,Los Angeles,90029
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90030
"34.07871,-118.2161",1,-8,-118.2161,34.07871,CA,Los Angeles,90031
"34.08166,-118.17568",1,-8,-118.17568,34.08166,CA,Los Angeles,90032
"34.050411,-118.21195",1,-8,-118.21195,34.050411,CA,Los Angeles,90033
"34.03056,-118.39804",1,-8,-118.39804,34.03056,CA,Los Angeles,90034
"34.05266,-118.38531",1,-8,-118.38531,34.05266,CA,Los Angeles,90035
"34.07036,-118.34926",1,-8,-118.34926,34.07036,CA,Los Angeles,90036
"34.002063,-118.28737",1,-8,-118.28737,34.002063,CA,Los Angeles,90037
"34.089459,-118.3285",1,-8,-118.3285,34.089459,CA,Los Angeles,90038
"34.110425,-118.25832",1,-8,-118.25832,34.110425,CA,Los Angeles,90039
"33.997492,-118.15284",1,-8,-118.15284,33.997492,CA,Los Angeles,90040
"34.137557,-118.20765",1,-8,-118.20765,34.137557,CA,Los Angeles,90041
"34.114558,-118.19233",1,-8,-118.19233,34.114558,CA,Los Angeles,90042
"33.987463,-118.334",1,-8,-118.334,33.987463,CA,Los Angeles,90043
"33.953814,-118.29158",1,-8,-118.29158,33.953814,CA,Los Angeles,90044
"33.960041,-118.3949",1,-8,-118.3949,33.960041,CA,Los Angeles,90045
"34.098908,-118.36241",1,-8,-118.36241,34.098908,CA,Los Angeles,90046
"33.958464,-118.30998",1,-8,-118.30998,33.958464,CA,Los Angeles,90047
"34.073759,-118.37376",1,-8,-118.37376,34.073759,CA,Los Angeles,90048
"34.067409,-118.47528",1,-8,-118.47528,34.067409,CA,Los Angeles,90049
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90050
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90051
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90052
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90053
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90054
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90055
"33.986212,-118.37099",1,-8,-118.37099,33.986212,CA,Los Angeles,90056
"34.061911,-118.27687",1,-8,-118.27687,34.061911,CA,Los Angeles,90057
"34.000219,-118.22605",1,-8,-118.22605,34.000219,CA,Los Angeles,90058
"33.927471,-118.24778",1,-8,-118.24778,33.927471,CA,Los Angeles,90059
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90060
"33.923365,-118.27591",1,-8,-118.27591,33.923365,CA,Los Angeles,90061
"34.003213,-118.3078",1,-8,-118.3078,34.003213,CA,Los Angeles,90062
