Zip Code,NumberOfStarbucks,Total Population,Median Household Income,Median Contract Rent,Total Housing Units,Total Labor Force Participation (Age 16+),Total Unemployment (Age 16+),ACCESS2,CHECKUP,DENTAL,DIABETES,MHLTH,OBESITY,PHLTH
90045,17.0,41123.0,125692.0,2612.0,17377.0,23417.0,1506.0,5.5,64.0,71.1,7.4,14.7,24.3,8.0
91505,10.0,32156.0,104361.0,2045.0,14220.0,18075.0,1242.0,6.7,63.2,69.3,8.3,14.0,25.8,9.1
90230,9.0,32005.0,107870.0,2193.0,14150.0,17812.0,881.0,8.4,65.2,68.6,9.7,13.2,25.5,9.3
91324,8.0,29744.0,100086.0,1986.0,11175.0,16595.0,1132.0,10.2,63.6,64.0,10.1,14.8,25.8,10.3
90036,8.0,37713.0,97583.0,2456.0,21848.0,25290.0,2176.0,4.4,61.1,72.0,6.0,13.8,22.2,6.9
91364,8.0,28765.0,128306.0,2530.0,11094.0,15625.0,1192.0,4.6,66.6,72.9,8.7,12.9,24.9,9.3
90245,7.0,17081.0,142596.0,2409.0,7518.0,10535.0,568.0,4.8,63.3,73.1,7.2,13.3,24.8,8.2
90028,7.0,30982.0,57258.0,1639.0,22079.0,21042.0,2173.0,10.2,60.2,60.2,9.0,17.0,28.3,10.2
90250,6.0,96200.0,74616.0,1551.0,33693.0,51978.0,3716.0,15.2,62.8,55.7,11.4,17.3,32.5,11.9
91606,6.0,43552.0,64976.0,1512.0,16392.0,24375.0,1854.0,16.0,61.3,56.2,11.4,17.3,31.0,12.7
90017,6.0,28754.0,46626.0,1377.0,15341.0,16151.0,1006.0,25.7,57.8,43.4,13.4,20.3,32.3,14.6
90046,6.0,48170.0,87339.0,1952.0,31405.0,34716.0,2900.0,5.1,62.0,70.6,6.9,14.3,25.1,8.2
90745,6.0,58735.0,103471.0,1621.0,16293.0,30137.0,1805.0,11.8,64.1,60.4,12.6,13.5,24.7,10.2
90034,6.0,55061.0,97511.0,1974.0,28847.0,37423.0,2015.0,7.4,60.7,68.0,7.0,14.1,24.2,7.7
91403,5.0,25887.0,107970.0,2144.0,12988.0,16873.0,1388.0,4.4,64.2,73.7,7.0,13.1,24.2,8.0
91344,5.0,53862.0,111897.0,1873.0,18383.0,27639.0,2197.0,7.7,64.9,67.8,9.9,13.5,24.9,9.8
91604,5.0,32073.0,132494.0,2228.0,15578.0,19925.0,1950.0,4.0,64.1,74.9,6.8,12.8,23.9,7.7
91311,5.0,40196.0,112172.0,1877.0,14738.0,21655.0,1178.0,6.6,65.4,68.6,9.8,13.5,25.2,9.8
91307,5.0,25368.0,130877.0,3042.0,8836.0,13098.0,1372.0,5.3,66.3,71.9,9.2,12.9,24.3,9.4
90732,5.0,22078.0,115120.0,2097.0,9162.0,11224.0,647.0,6.9,67.3,69.8,10.2,13.1,25.8,10.3
90025,5.0,44429.0,103511.0,2320.0,24131.0,30384.0,2102.0,5.7,61.3,70.1,6.6,13.8,22.3,7.5
90012,5.0,38430.0,58444.0,1897.0,16350.0,18197.0,1467.0,14.3,60.7,51.8,13.2,15.0,24.5,10.8
90024,5.0,50392.0,74852.0,2479.0,20313.0,24013.0,2336.0,6.9,60.3,63.3,5.5,19.7,20.3,7.9
90280,5.0,92262.0,67287.0,1294.0,24431.0,47087.0,3688.0,25.6,58.9,50.0,12.6,18.0,33.7,13.9
90405,5.0,26981.0,101713.0,2090.0,15786.0,16182.0,1151.0,4.5,64.0,73.2,7.5,13.1,24.4,8.2
90015,5.0,25554.0,61959.0,2176.0,14456.0,16296.0,1164.0,21.4,59.5,49.3,13.1,18.2,31.3,13.4
90292,5.0,24481.0,136854.0,3341.0,16240.0,16894.0,962.0,4.4,64.2,72.0,7.8,13.3,24.8,8.3
90403,4.0,24092.0,123391.0,2287.0,14773.0,14585.0,756.0,3.6,64.6,75.4,6.9,12.5,23.2,7.6
91367,4.0,44862.0,106355.0,2385.0,19940.0,25444.0,1886.0,5.2,65.2,71.1,8.4,13.4,24.3,9.1
90027,4.0,45764.0,86826.0,1737.0,23773.0,29860.0,2506.0,7.7,62.7,65.7,9.1,14.9,25.8,9.7
90265,4.0,16652.0,186264.0,2985.0,8950.0,7808.0,477.0,3.6,67.1,75.7,8.4,12.6,24.4,8.9
91303,4.0,30611.0,77437.0,1726.0,10855.0,18259.0,1294.0,18.0,58.7,54.4,9.9,17.5,30.2,11.7
90019,4.0,59410.0,65972.0,1519.0,26022.0,34043.0,2885.0,14.3,63.8,56.5,12.8,15.9,30.1,11.7
90020,4.0,38400.0,55321.0,1562.0,18981.0,22624.0,1549.0,11.6,60.6,57.2,10.6,14.4,23.1,9.2
91316,4.0,28497.0,85354.0,1831.0,13390.0,15341.0,1221.0,5.9,65.8,69.5,9.1,14.1,25.8,10.1
90016,4.0,47309.0,63090.0,1448.0,19194.0,26678.0,1955.0,17.0,64.9,52.9,14.0,17.6,35.2,13.4
91406,4.0,53276.0,71819.0,1618.0,19534.0,29868.0,2074.0,15.5,60.8,57.2,10.5,16.9,30.3,11.9
90301,4.0,37341.0,61910.0,1503.0,12858.0,19873.0,1655.0,18.4,63.8,51.4,14.0,18.1,35.8,13.8
90014,4.0,9273.0,26550.0,1275.0,7176.0,5309.0,614.0,13.4,65.2,50.0,18.5,17.2,34.7,15.3
90007,4.0,41004.0,36326.0,1242.0,13936.0,20969.0,2616.0,17.6,58.6,47.3,10.6,22.4,29.4,12.4
90048,4.0,20411.0,102244.0,2181.0,13755.0,13538.0,900.0,4.2,63.7,73.9,6.7,13.2,23.3,7.8
91011,4.0,20389.0,210532.0,3349.0,6987.0,9028.0,405.0,3.1,68.0,77.0,8.7,10.5,20.8,7.7
91204,4.0,18445.0,69102.0,1717.0,6886.0,9922.0,777.0,12.3,63.1,56.1,12.4,16.8,28.4,12.8
90731,4.0,63431.0,69019.0,1451.0,24473.0,32908.0,2152.0,14.9,62.4,57.4,11.7,16.9,31.5,12.7
91506,4.0,19559.0,104009.0,1740.0,8689.0,11954.0,771.0,7.2,64.3,68.7,9.1,14.0,26.1,9.8
91405,4.0,55451.0,58365.0,1489.0,19425.0,30995.0,2620.0,17.2,60.7,53.8,11.6,17.6,31.4,12.8
90041,4.0,28321.0,111938.0,1593.0,10382.0,15740.0,942.0,8.3,64.0,66.7,10.3,13.4,23.3,9.1
91105,4.0,12692.0,163253.0,2806.0,6615.0,6881.0,322.0,4.2,69.0,75.1,9.5,10.8,23.0,8.6
90501,4.0,42536.0,89926.0,1635.0,15839.0,22978.0,1548.0,11.9,62.3,61.1,10.5,14.9,26.4,10.3
90802,4.0,40012.0,69613.0,1643.0,24367.0,26631.0,2075.0,10.6,61.7,60.7,9.5,16.5,30.0,10.5
